como_voce_se_define,como_voce_se_define_se_outro,como_voce_se_indentifica,como_voce_se_indentifica_se_outro,faz_parte_da_populacao_t,orientaca_sexual,orientaca_sexual_se_outro,pessoa_com_necessidade_especifica,pessoa_com_necessidade_especifica_se_sim_qual,uf,pais,edicoes_anteriores_pybr,eventos_pybr,eventos_online,programa_em_python,nivel_python,estudante,trabalha_com_python,parte_de_alguma_comunidade,comunidade_qual
Prefiro não responder / Prefiero no decirlo,,Prefiro não responder / Prefiero no decirlo,,Prefiro não responder / Prefiero no decirlo,Prefiro não responder / Prefiero no decirlo,,Prefiro não responder / Prefiero no decirlo,,RS,Brasil,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Sim / Sí,Python UFRGS
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,MG,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Avançado / Avanzado,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Sim / Sí,Python Triângulo
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,RS,Brasil,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de três anos / Hace más de tres años,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Sim / Sí,Python Santa Maria
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,SP,Brasil,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN | Python Brasil [13] - 2017 - Belo Horizonte - MG | Python Brasil [12] - 2016 - Florianópolis - SC | Python Brasil [11] - 2015 - São José dos Campos - SP | Python Brasil [10] - 2014 - Porto de Galinhas - Pernambuco | Edições anteriores à Python Brasil [10] / Ediciones anteriores a Python Brasil [10] | Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia) | Sim, eventos internacionais / Sí, eventos internacionales",Sim / Sí,Há mais de dez anos / Hace más de diez años,Avançado / Avanzado,Não / No,Sim / Sí,Sim / Sí,Python Paraná
Uma pessoa amarela,,Homem / Hombre,,Não / No,Hétero,,Não / No,,RO,Brasil,Python Brasil [12] - 2016 - Florianópolis - SC,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Avançado / Avanzado,Não / No,Sim / Sí,Sim / Sí,Python Norte; PyRo
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Gay,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Sim / Sí,Python Norte
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,SP,Brasil,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Avançado / Avanzado,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Sim / Sí,Python Norte
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,TO,Brasil,Python Brasil [10] - 2014 - Porto de Galinhas - Pernambuco | Edições anteriores à Python Brasil [10] / Ediciones anteriores a Python Brasil [10] | Python Brasil 2020 - Online,"Sim, eventos internacionais / Sí, eventos internacionales",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Intermediário / Intermedio,"Sim, ensino técnico / S´i, bachirellato",Sim / Sí,Sim / Sí,Python Norte
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,PA,Brasil,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Intermediário / Intermedio,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Sim / Sí,Python Norte
Prefiro não responder / Prefiero no decirlo,,Homem / Hombre,,Não / No,Prefiro não responder / Prefiero no decirlo,,Não / No,,Fora da America Latina / Fuera de América Latina,Belgica,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos internacionais / Sí, eventos internacionales",Sim / Sí,Há mais de dez anos / Hace más de diez años,Avançado / Avanzado,Não / No,Sim / Sí,Sim / Sí,Python Norte
