como_voce_se_define,como_voce_se_define_se_outro,como_voce_se_indentifica,como_voce_se_indentifica_se_outro,faz_parte_da_populacao_t,orientaca_sexual,orientaca_sexual_se_outro,pessoa_com_necessidade_especifica,pessoa_com_necessidade_especifica_se_sim_qual,uf,pais,edicoes_anteriores_pybr,eventos_pybr,eventos_online,programa_em_python,nivel_python,estudante,trabalha_com_python,parte_de_alguma_comunidade,comunidade_qual
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Gay,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,"Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes",Intermediário / Intermedio,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Não / No,
Prefiro não responder / Prefiero no decirlo,,Prefiro não responder / Prefiero no decirlo,,Prefiro não responder / Prefiero no decirlo,Prefiro não responder / Prefiero no decirlo,,Prefiro não responder / Prefiero no decirlo,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez | Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Avançado / Avanzado,"Sim, ensino técnico / S´i, bachirellato",Não / No,Não / No,
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,Não / No,"Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,"Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes",Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Não / No,Não / No,
Uma pessoa negra / Persona negra,,Homem / Hombre,,Não / No,Hétero,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa amarela,,Homem / Hombre,,Não / No,Hétero,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,Não / No,"Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa amarela,,Homem / Hombre,,Não / No,Hétero,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,Não / No,"Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa negra / Persona negra,,Homem / Hombre,,Não / No,Hétero,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de três anos / Hace más de tres años,Intermediário / Intermedio,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Não / No,
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Intermediário / Intermedio,Não / No,Sim / Sí,Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,Há mais de um ano / Hace más de un año,Avançado / Avanzado,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Iniciante / Inicial,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Não / No,
Prefiro não responder / Prefiero no decirlo,,Prefiro não responder / Prefiero no decirlo,,Não / No,Hétero,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de três anos / Hace más de tres años,Iniciante / Inicial,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Bissexual / Bisexual,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,"Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes",Iniciante / Inicial,"Sim, ensino fundamental ou médio / Sí, instituto",Não / No,Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Não sei programar / No,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado",Não / No,Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de três anos / Hace más de tres años,Intermediário / Intermedio,Não / No,Sim / Sí,Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Prefiro não responder / Prefiero no decirlo,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Não / No,Há mais de três anos / Hace más de tres años,Intermediário / Intermedio,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Não / No,
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,América Latina,Argentina,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,Não / No,Sim / Sí,Não / No,
Prefiro não responder / Prefiero no decirlo,,Homem / Hombre,,Não / No,Hétero,,Não / No,,América Latina,Argentina,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,Não / No,"Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,América Latina,Argentina,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,Não / No,Sim / Sí,Não / No,
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,América Latina,Argentina,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos internacionais / Sí, eventos internacionales",Não / No,Há mais de três anos / Hace más de tres años,Avançado / Avanzado,Não / No,Sim / Sí,Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,América Latina,Argentina,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Iniciante / Inicial,Não / No,Sim / Sí,Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AP,,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Não / No,
Uma pessoa negra / Persona negra,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AP,,Python Brasil 2020 - Online,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de três anos / Hace más de tres años,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AP,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,"Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes",Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado",Não / No,Não / No,
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AP,,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Não / No,
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,AP,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,Não / No,"Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AP,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,"Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes",Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado",Não / No,Não / No,
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AP,,Python Brasil [14] - 2018 - Natal - RN,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,"Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes",Iniciante / Inicial,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AP,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Não sei programar / No,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AP,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,"Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes",Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado",Não / No,Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AP,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Comecei no último ano / Empecé en el último ano,Intermediário / Intermedio,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AP,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AP,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,"Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes",Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,Não / No,Sim / Sí,Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa negra / Persona negra,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,"Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes",Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,Não sei programar / No,Nulo :D,Não / No,"Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Não / No,
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Prefiro não responder / Prefiero no decirlo,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Não / No,
Uma pessoa indígena / Persona indígena,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,AM,,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,Não / No,Sim / Sí,Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de três anos / Hace más de tres años,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de três anos / Hace más de tres años,Intermediário / Intermedio,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Não / No,
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,Não sei programar / No,Iniciante / Inicial,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Não sei programar / No,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Não / No,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,Não / No,"Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Prefiro não responder / Prefiero no decirlo,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Intermediário / Intermedio,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Não / No,
Uma pessoa negra / Persona negra,,Mulher / Mujer,,Não / No,Lésbica / Lesbiana,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Comecei no último ano / Empecé en el último ano,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Não / No,
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Não sei programar / No,Iniciante / Inicial,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Não sei programar / No,Iniciante / Inicial,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Gay,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Não sei programar / No,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado",Não / No,Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,Não sei programar / No,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,"Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes",Iniciante / Inicial,Não / No,"Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Não / No,
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Não / No,
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,AM,,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Não / No,
Uma pessoa parda / Persona mestiza,,Não-binárie / No binario,,Não / No,Assexual / Asexual,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,Não sei programar / No,Nulo :D,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Não sei programar / No,Nulo :D,Não / No,Não / No,Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, ensino técnico / S´i, bachirellato",Não / No,Não / No,
Uma pessoa parda / Persona mestiza,,Homem / Hombre,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Não / No,
