"data_do_pedido","quantidade","nvel_de_preo","tipo_de_ingresso","grupo","tipo_do_pedido","moeda","total_pago","taxas_pagas","taxas_da_eventbrite","processamento_de_pagamentos_da_eventbrite","status_do_participante","como_voc_se_define__cmo_te_defines","como_voc_se_identifica__cmo_te_identificas_","faz_parte_da_populao_t_pessoa_transgnera_travesti__eres_parte_de_la_poblacin_transgnero_","orientao_sexual__orientacin_sexual","pessoa_com_necessidades_especficas__persona_con_necesidades_especiales_","em_qual_uf_voc_reside__dnde_vives_","de_quais_edies_da_python_brasil_voc_j_participou__cules_ediciones_de_python_brasil_ya_asistiese","voc_j_participou_de_algum_outro_evento_python__has_participado_de_alguno_otro_evento_de_la_comunidad_python","voc_participou_de_outros_eventos_online_durante_a_pandemia_de_covid19__has_participado_de_otros_eventos_en_lnea_durante_la_pandemia_de_covid19","voc_programa_em_python__programas_con_python_","como_voc_classificaria_seu_nvel_de_conhecimento_em_python__cmo_clasificas_tu_nivel_de_conocimiento_en_python_","voc__estudante__eres_estudiante","voc_trabalha_com_python__trabajas_con_python_","voc_faz_parte_de_alguma_comunidade_local_grupy_pug_pyladies_afropython__haces_parte_de_alguna_comunidad_grupy_pug_pyladies_afropython_","tamanho_de_camiseta","de_qual_tutorial_voc_ir_participar_os_tutoriais_sero_exclusivamente_presenciais","regras_adicionais_sobre_tutoriais__leia_atentamente","aplicabilidade_do_ingresso","termo_de_consentimento_para_tratamento_de_dados_pessoais__consentimiento_al_tratamiento_de_datos_personales","direitos_de_contedo_e_imagem","cdigo_conduta__cdigo_conducta","se_outro_qual__cul","se_outro_qual__cul1","se_outro_qual__cul2","se_sim_qual__cul","em_qual_pas_voc_reside__cul_pas","se_sim_qual__cul1","localidade"
"2024-10-07 16:13:56-03:00","1","","Meia-Entrada (lote 3) - 18, 19 E 20 DE OUTUBRO","","Eventbrite Concluído","BRL","378.0","28.0","28.0","0.0","Fez check-in","Uma pessoa branca / Persona blanca","Homem / Hombre","Não / No","Hétero","Não / No","PR","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Há mais de um ano / Hace más de un año","Iniciante / Inicial","Sim, pós-graduação ou especialização / Sí, máster posgrado","Sim / Sí","Não / No","G - largura 58 cm x comprimento 77 cm","","","","accepted","accepted","accepted","","","","","","",""
"2024-04-01 11:12:06-03:00","1","","Ingresso Geral (lote 1)","","Eventbrite Concluído","BRL","432.0","32.0","32.0","0.0","Fez check-in","Prefiro não responder / Prefiero no decirlo","Prefiro não responder / Prefiero no decirlo","Prefiro não responder / Prefiero no decirlo","Prefiro não responder / Prefiero no decirlo","Prefiro não responder / Prefiero no decirlo","SP","Python Brasil 2022 - Manaus - AM | Python Brasil 2021 - Online | Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN | Python Brasil [13] - 2017 - Belo Horizonte - MG | Python Brasil [11] - 2015 - São José dos Campos - SP | Python Brasil [10] - 2014 - Porto de Galinhas - Pernambuco | Edições anteriores à Python Brasil [10] / Ediciones anteriores a Python Brasil [10] | Python Brasil 2023 - Caxias do Sul - RS","Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia) | Sim, eventos internacionais / Sí, eventos internacionales","Não / No","Há mais de dez anos / Hace más de diez años","Avançado / Avanzado","Não / No","Sim / Sí","Sim / Sí","M - largura 54 cm x comprimento 72 cm","","","","accepted","accepted","accepted","","","","","","PUG Vale",""
"2024-07-17 11:55:06-03:00","1","","Ingresso Geral (lote 1)","","Eventbrite Concluído","BRL","432.0","32.0","32.0","0.0","Fez check-in","Prefiro não responder / Prefiero no decirlo","Prefiro não responder / Prefiero no decirlo","Prefiro não responder / Prefiero no decirlo","Prefiro não responder / Prefiero no decirlo","Prefiro não responder / Prefiero no decirlo","SP","Python Brasil 2022 - Manaus - AM | Python Brasil 2021 - Online | Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN | Python Brasil [13] - 2017 - Belo Horizonte - MG | Python Brasil [11] - 2015 - São José dos Campos - SP | Python Brasil [10] - 2014 - Porto de Galinhas - Pernambuco | Edições anteriores à Python Brasil [10] / Ediciones anteriores a Python Brasil [10] | Python Brasil 2023 - Caxias do Sul - RS","Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia) | Sim, eventos internacionais / Sí, eventos internacionales","Sim / Sí","Há mais de dez anos / Hace más de diez años","Avançado / Avanzado","Não / No","Sim / Sí","Não / No","M - largura 54 cm x comprimento 72 cm","","","","accepted","accepted","accepted","","","","","","",""
"2024-10-18 10:16:16-03:00","1","","Ingresso Online - APENAS TRANSMISSÃO REMOTA","","Pedido grátis","BRL","0.0","0.0","0.0","0.0","Participando","Uma pessoa amarela","Homem / Hombre","Não / No","Hétero","Não / No","SP","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Comecei no último ano / Empecé en el último ano","Iniciante / Inicial","Sim, graduação ou tecnólogo / Sí, grado","Sim / Sí","Não / No","","","","","accepted","accepted","accepted","","","","","","",""
"2024-09-07 23:44:09-03:00","1","","Ingresso Geral (lote 2)","","Eventbrite Concluído","BRL","594.0","44.0","44.0","0.0","Fez check-in","Uma pessoa branca / Persona blanca","Homem / Hombre","Prefiro não responder / Prefiero no decirlo","Prefiro não responder / Prefiero no decirlo","Não / No","SC","Python Brasil 2023 - Caxias do Sul - RS","Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)","Não / No","Há mais de três anos / Hace más de tres años","Intermediário / Intermedio","Não / No","Sim / Sí","Não / No","M - largura 54 cm x comprimento 72 cm","","","","accepted","accepted","accepted","","","","","","",""
"2024-05-31 15:10:51-03:00","1","","Ingresso Meia-Entrada (lote 1)","","Eventbrite Concluído","BRL","216.0","16.0","16.0","0.0","Fez check-in","Uma pessoa branca / Persona blanca","Homem / Hombre","Não / No","Hétero","Não / No","RJ","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Há mais de cinco anos / Hace más de cinco años","Intermediário / Intermedio","Sim, pós-graduação ou especialização / Sí, máster posgrado","Sim / Sí","Não / No","GG - largura 60 cm x comprimento 80 cm","","","","accepted","accepted","accepted","","","","","","",""
"2024-05-30 21:02:24-03:00","1","","Ingresso Geral (lote 1)","","Eventbrite Concluído","BRL","432.0","32.0","32.0","0.0","Fez check-in","Uma pessoa branca / Persona blanca","Homem / Hombre","Não / No","Hétero","Não / No","PE","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Há mais de três anos / Hace más de tres años","Avançado / Avanzado","Sim, graduação ou tecnólogo / Sí, grado","Sim / Sí","Não / No","M - largura 54 cm x comprimento 72 cm","","","","accepted","accepted","accepted","","","","","","",""
"2024-09-23 15:21:59-03:00","1","","Ingresso Meia-Entrada (lote 2)","","Eventbrite Concluído","BRL","297.0","22.0","22.0","0.0","Fez check-in","Uma pessoa branca / Persona blanca","Homem / Hombre","Não / No","Hétero","Não / No","RN","Python Brasil [14] - 2018 - Natal - RN","Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)","Sim / Sí","Há mais de dez anos / Hace más de diez años","Avançado / Avanzado","Não / No","Sim / Sí","Não / No","M - largura 54 cm x comprimento 72 cm","","","","accepted","accepted","accepted","","","","","","",""
"2024-10-05 17:20:47-03:00","1","","Tutorial - 16 OU 17 DE OUTUBRO (conforme seleção)","","Pedido grátis","BRL","0.0","0.0","0.0","0.0","Fez check-in","Uma pessoa branca / Persona blanca","Homem / Hombre","Não / No","Hétero","Não / No","RN","Python Brasil 2021 - Online | Python Brasil 2020 - Online | Python Brasil [14] - 2018 - Natal - RN","Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)","Sim / Sí","Há mais de dez anos / Hace más de diez años","Avançado / Avanzado","Não / No","Sim / Sí","Não / No","","Luz, micro:bit, ação! Ilumine seus projetos com MicroPython - 17/10 - TARDE - das 14h às17h","accepted","accepted","accepted","accepted","accepted","","","","","","",""
"2024-09-16 11:06:25-03:00","1","","Ingresso Geral (lote 2)","","Eventbrite Concluído","BRL","594.0","44.0","44.0","0.0","Fez check-in","Uma pessoa branca / Persona blanca","Homem / Hombre","Não / No","Hétero","Não / No","RN","Python Brasil [12] - 2016 - Florianópolis - SC","Sim, eventos locais / Sí, eventos locales","Sim / Sí","Há mais de três anos / Hace más de tres años","Intermediário / Intermedio","Não / No","Sim / Sí","Não / No","G - largura 58 cm x comprimento 77 cm","","","","accepted","accepted","accepted","","","","","","",""
