"tipo_ingresso","como_voce_se_define","como_voce_se_define_se_outro","como_voce_se_indentifica","como_voce_se_indentifica_se_outro","faz_parte_da_populacao_t","orientaca_sexual","orientaca_sexual_se_outro","pessoa_com_necessidade_especifica","pessoa_com_necessidade_especifica_se_sim_qual","uf","pais","edicoes_anteriores_pybr","eventos_pybr","eventos_online","programa_em_python","nivel_python","estudante","trabalha_com_python","parte_de_alguma_comunidade","comunidade_qual"
"Ingresso Meia-Entrada (lote 1)","Uma pessoa parda / Persona mestiza",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"AM","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes","Nulo :D","Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Geral (lote 1)","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"AM","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Sim, eventos internacionais / Sí, eventos internacionales | Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Não sei programar / No","Iniciante / Inicial","Sim, graduação ou tecnólogo / Sí, grado","Não / No","Não / No",
"Ingresso Meia-Entrada (lote 1)","Uma pessoa branca / Persona blanca",,"Mulher / Mujer",,"Não / No","Hétero",,"Não / No",,"AM","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Não sei programar / No","Iniciante / Inicial","Sim, graduação ou tecnólogo / Sí, grado","Não / No","Não / No",
"Ingresso Geral (lote 1)","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"RJ","Brasil","Python Brasil [12] - 2016 - Florianópolis - SC","Sim, eventos locais / Sí, eventos locales","Sim / Sí","Há mais de cinco anos / Hace más de cinco años","Avançado / Avanzado","Sim, pós-graduação ou especialização / Sí, máster posgrado","Sim / Sí","Não / No",
"Ingresso Meia-Entrada (lote 1)","Prefiro não responder / Prefiero no decirlo",,"Prefiro não responder / Prefiero no decirlo",,"Prefiro não responder / Prefiero no decirlo","Hétero",,"Não / No",,"AM","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Não sei programar / No","Nulo :D","Não / No","Não / No","Não / No",
"Ingresso Geral (lote 1)","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Bissexual / Bisexual",,"Não / No",,"PR","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Comecei no último ano / Empecé en el último ano","Iniciante / Inicial","Não / No","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Geral (lote 1)","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"MG","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Há mais de um ano / Hace más de un año","Intermediário / Intermedio","Não / No","Sim / Sí","Não / No",
"Ingresso Geral (lote 1)","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"MG","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Há mais de um ano / Hace más de un año","Intermediário / Intermedio","Não / No","Não / No","Não / No",
"Ingresso Geral (lote 1)","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"MG","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Há mais de um ano / Hace más de un año","Intermediário / Intermedio","Não / No","Sim / Sí","Não / No",
"Ingresso Meia-Entrada (lote 1)","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"AM","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Há mais de um ano / Hace más de un año","Iniciante / Inicial","Sim, graduação ou tecnólogo / Sí, grado","Não / No","Não / No",
"Ingresso Online","Uma pessoa parda / Persona mestiza",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"BA","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Comecei no último ano / Empecé en el último ano","Iniciante / Inicial","Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"MG","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Comecei no último ano / Empecé en el último ano","Intermediário / Intermedio","Não / No","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Mulher / Mujer",,"Não / No","Hétero",,"Não / No",,"RJ","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Há mais de um ano / Hace más de un año","Iniciante / Inicial","Não / No","Não, mas pretendo / No, pero quiero","Sim / Sí","Pyladies"
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"SP","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Comecei no último ano / Empecé en el último ano","Iniciante / Inicial","Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"AM","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes","Iniciante / Inicial","Não / No","Não / No","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"DF","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Há mais de cinco anos / Hace más de cinco años","Intermediário / Intermedio","Não / No","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Online","Uma pessoa amarela",,"Mulher / Mujer",,"Não / No","Hétero",,"Não / No",,"AM","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Não sei programar / No","Nulo :D","Sim, pós-graduação ou especialização / Sí, máster posgrado","Não / No","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"PE","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Há mais de um ano / Hace más de un año","Intermediário / Intermedio","Sim, graduação ou tecnólogo / Sí, grado","Sim / Sí","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"SP","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Há mais de três anos / Hace más de tres años","Iniciante / Inicial","Não / No","Não, mas pretendo / No, pero quiero","Não / No",
